time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,1.0320306197964881,0.7268113163373954,0.0,0.0,1.9054328231115534,0.4258129486305007,0.4258129486305007,0.4258129486305007,0.4258129486305007,
66,33,1.2448961060025963,0.07466529769405464,0.0,0.0,8.130183814919839,0.01,0.01,0.01,0.01,
99,33,1.818399396463,0.07466529769405464,0.0,0.0,10.056789368469037,0.01,0.01,0.01,0.01,
132,66,1.1056226709465427,0.35389337172762975,0.0,0.0,5.320848808089657,0.287842642314182,0.287842642314182,0.287842642314182,0.287842642314182,
198,99,0.9803296437471589,0.8200724295213199,0.0,0.0,1.6547967804663095,0.5029183120086252,0.5029183120086252,0.5029183120086252,0.5029183120086252,
297,66,0.9624297651784222,1.0843325640993449,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
363,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
396,33,1.0320306197964881,0.7268113163373954,0.0,0.0,1.9054328231115534,0.4258129486305007,0.4258129486305007,0.4258129486305007,0.4258129486305007,
429,33,1.2448961060025963,0.07466529769405464,0.0,0.0,8.130183814919839,0.01,0.01,0.01,0.01,
462,33,1.818399396463,0.07466529769405464,0.0,0.0,10.056789368469037,0.01,0.01,0.01,0.01,
495,66,1.1056226709465427,0.35389337172762975,0.0,0.0,5.320848808089657,0.287842642314182,0.287842642314182,0.287842642314182,0.287842642314182,
561,66,0.9624297651784222,1.0843325640993449,0.0,0.0,6.416930124850559,0.6,0.6,0.6,0.6,
627,495,0.9929117551414921,1.0285138313543862,0.0,0.0,7.225593386318415,0.6,0.6,0.6,0.6,
1122,33,0.9929117551414921,1.0285138313543862,0.0,0.0,7.225593386318415,0.6,0.6,0.6,0.6,
1155,33,1.0320306197964881,0.7268113163373954,0.0,0.0,1.9054328231115534,0.4258129486305007,0.4258129486305007,0.4258129486305007,0.4258129486305007,
1188,33,1.2448961060025963,0.07466529769405464,0.0,0.0,8.130183814919839,0.01,0.01,0.01,0.01,
1221,33,1.818399396463,0.07466529769405464,0.0,0.0,10.056789368469037,0.01,0.01,0.01,0.01,
1254,66,1.1056226709465427,0.35389337172762975,0.0,0.0,5.320848808089657,0.287842642314182,0.287842642314182,0.287842642314182,0.287842642314182,
1320,99,1.136662988558295,1.1050858905314362,0.0,0.0,0.0,0.5202370503738543,0.5202370503738543,0.5202370503738543,0.5202370503738543,
1419,99,1.0,1.0,0.0,0.0,0.0,0.39911448959927953,0.39911448959927953,0.39911448959927953,0.39911448959927953,
1518,33,1.0,1.0,0.0,0.0,0.0,0.38942393621010424,0.38942393621010424,0.38942393621010424,0.38942393621010424,
1551,231,1.0,1.0,0.0,0.0,0.0,0.3913307721267457,0.3913307721267457,0.3913307721267457,0.3913307721267457,
1782,66,1.0,1.0,0.0,0.0,0.0,0.3913307721267457,0.3913307721267457,0.3913307721267457,0.3913307721267457,
1848,33,1.2448961060025963,0.07466529769405464,0.0,0.0,8.130183814919839,0.01,0.01,0.01,0.01,
1881,33,1.818399396463,0.07466529769405464,0.0,0.0,10.056789368469037,0.01,0.01,0.01,0.01,
1914,132,1.1056226709465427,0.35389337172762975,0.0,0.0,5.320848808089657,0.287842642314182,0.287842642314182,0.287842642314182,0.287842642314182,
2046,66,0.9624297651784222,1.0843325640993449,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2112,165,0.9855928643549328,1.0323391827611834,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2277,330,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2607,33,1.0,1.0,0.0,0.0,0.0,0.598943400316955,0.598943400316955,0.598943400316955,0.598943400316955,
