time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
66,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
99,33,1.0458065623546753,0.8571427326500662,0.0,0.6482812114118387,2.5611593214329034,0.6000000000000005,0.6000000000000005,0.6157993854922785,0.6157993854922785,
132,66,1.176682454796602,0.4489791116502639,0.0,2.500504887066711,9.878757382669622,0.6000000000000022,0.6000000000000022,0.6609404868987877,0.6609404868987877,
198,66,1.0912124881131013,0.9370933470029604,0.0,2.500504887066711,-0.8958826016023366,0.6000000000000005,0.6000000000000005,0.6157993854922784,0.6157993854922784,
264,66,1.0617989919075446,1.101831901434496,0.0,2.500504887066711,-4.532323596294134,0.6000000000000001,0.6000000000000001,0.6005642637675813,0.6005642637675813,emote_curious.wav
330,66,1.0599013660511059,1.1079333293764049,0.0,2.500504887066711,-4.66700659609754,0.6,0.6,0.6,0.6,
396,231,1.0591254584273446,1.0547568722634344,0.0,2.500504887066711,-4.66700659609754,0.6,0.6,0.6,0.6,
627,33,1.0591254584273446,1.0547568722634344,0.0,2.500504887066711,-4.66700659609754,0.6,0.6,0.6,0.6,neutral.wav
660,33,1.031045957179469,1.0350682017408228,0.0,2.500504887066711,-4.575953256539592,0.6,0.6,0.6,0.6,
693,33,1.031045957179469,0.9609580662796313,0.0,2.464089925950029,-4.084265222926674,0.6,0.6,0.6,0.6,
726,66,1.031045957179469,1.0672768871017342,0.0,2.1484934047598205,-4.575953256539591,0.6,0.6,0.6,0.6,
792,66,1.031045957179469,1.0869655576243462,0.0,2.0878017265087596,-4.66700659609754,0.6,0.6,0.6,0.6,
858,33,1.031045957179469,1.0869655576243462,0.0,2.0878017265087596,-4.66700659609754,0.6,0.6,0.6,0.6,
891,33,1.037086284170256,1.0731607786838522,0.0,2.0963050335382816,-4.66700659609754,0.6,0.6,0.6,0.6,
924,66,1.0891260243985719,0.9542272985811338,0.0,2.260268299820423,-4.66700659609754,0.6,0.6,0.6,0.6,
990,132,1.0712056101398184,1.0188611858240817,0.0,2.463884815735394,-4.66700659609754,0.6,0.6,0.6,0.6,
1122,363,1.0591254584273446,1.0547568722634344,0.0,2.500504887066711,-4.66700659609754,0.6,0.6,0.6,0.6,
1485,33,1.0591254584273446,1.0547568722634344,0.0,2.500504887066711,-4.66700659609754,0.6,0.6,0.6,0.6,
1518,33,1.0563565050349861,0.8520653956160369,0.0,1.4395238834661868,-2.4387148423146616,0.6000007025926799,0.6000007025926799,0.6000007059603921,0.6000007059603921,
1551,33,1.0798915615666704,0.11278584209313083,0.0,0.0,7.033800156536934,0.26616124069910035,0.26616124069910035,0.26616124641235295,0.26616124641235295,
1584,33,1.3882165680441603,0.09949961159609819,0.0,0.0,9.827506681438823,0.0459796901714264,0.0459796901714264,0.0459796901714264,0.0459796901714264,blink.wav
1617,33,1.2513056823558082,0.5555641853649651,0.0,0.0,7.473846536546109,0.6000027100003369,0.6000027100003369,0.6000027229900835,0.6000027229900835,
1650,33,1.0148109203574596,0.9223206929047992,0.0,0.0,4.854074285716777,0.6000027100003369,0.6000027100003369,0.6000027229900835,0.6000027229900835,
1683,33,0.9299465455008645,1.1191375448948426,0.0,0.0,1.7675186732534307,0.6000027100003369,0.6000027100003369,0.6000027229900835,0.6000027229900835,
1716,33,0.9432939795078269,1.1035798146588098,0.0,0.0,0.7860320311270144,0.6000027100003369,0.6000027100003369,0.6000027229900835,0.6000027229900835,
1749,66,0.9774847776288413,1.041861778588168,0.0,0.0,0.2457227927923853,0.6000013550001685,0.6000013550001685,0.6000013614950418,0.6000013614950418,
1815,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
