time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,0.9785448037534374,0.8285136143043429,0.0,0.0,0.0,0.4610340059065386,0.5155184043425876,0.4610340059065386,0.5155184043425876,
33,33,1.2027724018285157,0.45100680725676173,0.0,0.0,10.020040220593728,0.23551700301987305,0.2627592022378975,0.23551700301987305,0.2627592022378975,
66,33,1.426999999903594,0.0735000002091807,0.0,0.0,20.040080441187456,0.01,0.01,0.01,0.01,curious_short.wav
99,66,1.3337221784410047,0.34556503536313027,0.0,0.0,14.131240565464685,0.054135358053260606,0.054137979782206753,0.054135358053260606,0.054137979782206753,head_curious.wav
165,33,1.0239236688051818,1.1228937072315575,0.0,0.0,-2.7511590794575196,0.3250166132701975,0.3250301639874647,0.3250166132701975,0.3250301639874647,
198,33,1.0070884944607945,1.0910323757270797,0.0,0.0,-2.037895614412983,0.6856410855448669,0.6856571311044143,0.6856410855448669,0.6856571311044143,
231,33,1.0017225041539732,1.0442417346033603,0.0,0.0,-0.990417268604702,0.6704730858304542,0.670491791335647,0.6704730858304542,0.670491791335647,
264,33,1.0128230864795775,1.0835677209174588,0.0,0.0,-0.3253839997679371,0.6439290863302329,0.6439524467403052,0.6439290863302329,0.6439524467403052,
297,99,1.0239236688051818,1.1228937072315575,0.0,0.0,0.0,0.6271359437892766,0.6271622491391704,0.6271359437892766,0.6271622491391704,
396,99,1.0239236688051818,1.1228937072315575,0.0,0.0,0.0,0.6271359437892766,0.6271622491391704,0.6271359437892766,0.6271622491391704,
495,66,1.0239236688051818,1.1228937072315575,0.0,0.0,0.0,0.6271359437892766,0.6271622491391704,0.6271359437892766,0.6271622491391704,
561,33,1.011961834402591,1.0614468536157786,0.0,0.0,0.0,0.7314888446523499,0.7314979741208949,0.7314888446523499,0.7314979741208949,
594,33,1.0044856879009716,1.023042570105917,0.0,0.0,0.0,0.7680123599544254,0.7680154778644985,0.7680123599544254,0.7680154778644985,
627,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,curious_short.wav
660,33,1.0,1.0,0.0,0.0,0.0,0.5363749613610324,0.536374701535193,0.5363749613610324,0.536374701535193,
693,33,1.0,1.0,0.0,0.0,0.0,0.5149302708981162,0.5149302708981162,0.5149302708981162,0.5149302708981162,
726,33,1.0,1.0,0.0,0.0,0.0,0.5574651354490588,0.5574651354490588,0.5574651354490588,0.5574651354490588,
759,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
792,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
825,132,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
957,165,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
1122,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
