time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,1.008414653925364,0.776206294971055,0.0,0.0,1.9142860263356916,0.6,0.6,0.6,0.6,head_curious.wav
66,33,1.078495177318554,0.4353884395426284,0.0,0.0,4.546429312547268,0.6,0.6,0.6,0.6,
99,33,1.1696174021855368,0.29785509760310985,0.0,0.0,5.5507143397734815,0.6,0.6,0.6,0.6,
132,33,1.0621288208543158,0.442783580109558,0.0,0.0,2.4533416239424746,0.6,0.6,0.6,0.6,
165,33,0.9849838195192235,0.7234086659611261,0.0,0.0,-0.7797998085569254,0.6,0.6,0.6,0.6,
198,33,0.9667184447017,1.0335732345339117,0.0,0.0,-0.8703122863358546,0.6,0.6,0.6,0.6,
231,66,0.9796099487801949,1.1224937181641175,0.0,0.0,-0.6005154775717397,0.6,0.6,0.6,0.6,
297,33,1.0083039417291029,1.0108884882466664,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
330,66,1.005812759210372,0.9471975455189066,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
396,33,1.0,0.9802870836603917,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
429,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
