time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
66,792,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
858,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
891,33,1.0,1.0,0.0,0.07890711283374173,0.0,0.6032444650539115,0.6032444650539115,0.6000000000000001,0.6000000000000001,curious_short.wav
924,528,1.0,1.0,0.0,0.2161838707773692,0.0,0.6212687535874479,0.6212687535874479,0.6000000000000006,0.6000000000000006,
1452,66,1.0,1.0,0.0,0.2161838707773692,0.0,0.6212687535874479,0.6212687535874479,0.6000000000000006,0.6000000000000006,
1518,66,1.1218838699514677,1.0,0.0,0.2161838707773692,0.0,0.521748404509643,0.521748404509643,0.5039089713406232,0.5039089713406232,
1584,132,1.0093005557655297,1.0,0.0,0.2161838707773692,0.0,0.6122975992094455,0.6122975992094455,0.5913379780071881,0.5913379780071881,
1716,1386,1.0,1.0,0.0,0.2161838707773692,0.0,0.6212687535874479,0.6212687535874479,0.6000000000000006,0.6000000000000006,curious_short.wav
3102,66,1.0,1.0,0.0,0.2161838707773692,0.0,0.6212687535874479,0.6212687535874479,0.6000000000000006,0.6000000000000006,curious_short.wav
3168,66,1.0617489251222028,1.0,0.0,0.07860533966827196,0.0,0.3174077633720031,0.3174077633720031,0.3159414299343449,0.3159414299343449,
3234,99,1.0,1.0,0.0,0.03244376604749819,0.0,0.6005303710184756,0.6005303710184756,0.6,0.6,head_curious.wav
3333,33,1.0,1.0,0.0,0.0039707588962226694,0.0,0.6005303710184756,0.6005303710184756,0.6,0.6,
