time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,0.8519074062034846,0.9115538953234342,0.0,0.0,1.1335255282059862,0.5798141713652667,0.5930472539082756,0.5798141713652667,0.5930472539082756,
66,33,0.8637081815635298,0.09749226745322442,0.0,0.0,8.541472424534328,0.01,0.01,0.01,0.01,
99,33,1.426999999903594,0.07350000020918059,0.0,0.0,10.52554426231234,0.01,0.01,0.01,0.01,
132,66,0.9363016532389647,0.7517013627638882,0.0,0.0,1.5356566267722584,0.6,0.6,0.6,0.6,
198,33,0.9553804731261055,1.1035829154318733,0.0,0.0,-1.4103870646589107,0.5884306445918416,0.5960150860262712,0.5884306445918416,0.5960150860262712,
231,33,0.9717421168960082,1.1067646391204569,0.0,0.0,-1.8080760848800752,0.590238356374366,0.5966377288346661,0.590238356374366,0.5966377288346661,
264,66,0.9854453583707534,1.1083984972308105,0.0,0.0,-1.876101586356344,0.5942153222959199,0.5980075430131352,0.5942153222959199,0.5980075430131352,
330,66,1.0032419811097035,1.1090864374878018,0.0,0.0,-1.1844792815946936,0.6,0.6,0.6,0.6,
396,99,1.0067662219772744,1.10297236745072,0.0,0.0,-0.46347001141933164,0.6,0.6,0.6,0.6,
495,33,1.0048195324938156,1.0735928004114652,0.0,0.0,-0.46347001141933164,0.6,0.6,0.6,0.6,
528,33,0.9610374090543502,1.0068436538089276,0.0,5.776221207692304,0.13217361494805502,0.6,0.6,0.6,0.6,sad.wav
561,33,0.962372781007109,0.9894946015830086,0.0,6.436231845540543,0.36550577828547404,0.6,0.6,0.6,0.6,
594,66,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
660,33,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
693,33,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
726,33,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
759,33,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
792,33,0.9533172920956254,1.0,0.0,6.530518973709275,0.0,0.6,0.6,0.6,0.6,
