time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,264,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
264,33,1.0039989726250003,0.9892908079921658,0.0,0.0,0.10446977354966691,0.6,0.6,0.6,0.6,
297,33,0.967300899266528,1.0507698940081873,0.0,0.0002539759164249176,-0.9502947037685041,0.6,0.6,0.6,0.6,
330,33,0.9637248897401954,1.070809411024772,0.0,0.00034094849880258066,-1.3475854260427012,0.6,0.6,0.6,0.6,
363,33,0.9641803642500818,1.073820629668684,0.0,0.00036678949817215995,-1.4806838737645338,0.6,0.6,0.6,0.6,
396,33,0.9648204923592866,1.0686065529724615,0.0,0.00036678949817215995,-1.4221751862766112,0.6,0.6,0.6,0.6,
429,66,0.9651430088027924,1.06121700753242,0.0,0.00036678949817215995,-1.3390425685391576,0.6,0.6,0.6,0.6,
495,99,0.9655714257333764,1.0564168797181344,0.0,0.00036678949817215995,-1.283692431768292,0.6,0.6,0.6,0.6,
594,33,0.9658007683868941,1.0547597584934096,0.0,0.00036678949817215995,-1.264715242018281,0.6,0.6,0.6,0.6,curious_short.wav
627,33,0.9538608195568126,1.0736940829617587,0.0,0.00036678949817215995,-1.3399656168093594,0.6,0.6,0.6,0.6,
660,33,0.9460894784541373,1.0937644668982085,0.0,0.06660510423112957,0.0007139111013856336,0.6,0.6,0.6,0.6,
693,33,0.9439168490885703,1.0248275425086921,0.0,0.22521794673136178,4.048646624829079,0.6,0.6,0.6,0.6,
726,33,0.9979639328194394,0.7922393440798203,0.0,0.3944598294893888,11.053977313706373,0.6,0.6,0.6,0.6,
759,33,1.1333411239598894,0.5273483076497528,0.0,0.5256844763404241,14.990775692140385,0.6,0.6,0.6,0.6,
792,33,1.1376508230257616,0.5487582079036544,0.0,0.5703048790149139,14.521315402498526,0.6,0.6,0.6,0.6,
825,33,1.0945358271092545,0.7039387726192765,0.0,0.5958718750533478,12.176542676509527,0.6,0.6,0.6,0.6,
858,66,1.0801701635563479,0.8254822925821058,0.0,0.6101784094383402,10.238855582315246,0.6,0.6,0.6,0.6,
924,66,1.0917261491346844,0.8769737239167174,0.0,0.6139408900945447,9.340794516013666,0.6,0.6,0.6,0.6,
990,66,1.1008650199216896,0.8487044846866404,0.0,0.6139408900945447,9.802876009792541,0.6,0.6,0.6,0.6,
1056,660,1.1058352829812894,0.8338327440120802,0.0,0.6139408900945447,10.014316598542313,0.6,0.6,0.6,0.6,
1716,33,1.1151344848347335,0.8219168772604138,0.0,0.6139408900945447,10.191157818223932,0.6,0.6,0.6,0.6,curious_short.wav
1749,33,1.1472232068122243,0.6893171199844415,0.0,2.9126551443196367,12.296715364039079,0.6,0.6,0.6,0.6,
1782,33,1.075641575883662,0.8151466515169653,0.0,4.8678042290286765,10.331414305399555,0.6,0.6,0.6,0.6,
1815,33,1.0603407375196832,0.8856879991753049,0.0,5.447268114322654,9.060409613043038,0.6,0.6,0.6,0.6,
1848,33,1.0680995450990731,0.91809902871233,0.0,5.379750894659455,8.433306412594023,0.6,0.6,0.6,0.6,
1881,33,1.0800219259486108,0.9066445121802443,0.0,5.245018560051786,8.62734205881698,0.6,0.6,0.6,0.6,
1914,66,1.085322177140568,0.8905058358401087,0.0,5.14480017642928,8.904379165718979,0.6,0.6,0.6,0.6,
1980,627,1.0906751148966827,0.8806257502479294,0.0,5.112099051331728,9.097318098026337,0.6005514584822791,0.6005514584822791,0.6005514584822791,0.6005514584822791,
2607,33,1.0956714285296105,0.8700901675148994,0.0,5.112099051331728,9.25984251372595,0.6005514584822791,0.6005514584822791,0.6005514584822791,0.6005514584822791,
2640,33,1.1002588248118912,0.8182381135528667,0.0,4.760158179013064,10.05708767615072,0.6005514584822791,0.6005514584822791,0.6005514584822791,0.6005514584822791,curious_short.wav
2673,33,1.1677405055766987,0.6057395431965674,0.0,1.4798649992791977,13.442313288908203,0.6005514584822791,0.6005514584822791,0.6005514584822791,0.6005514584822791,emote_curious.wav
2706,33,1.139358537391288,0.6542415164369586,0.0,0.48079668189194724,12.668655807883873,0.4847302017377439,0.48474138313848986,0.4847302017377439,0.48474138313848986,
2739,33,0.9722992750343037,0.9278644360151648,0.0,0.143616810027349,8.110783829031542,0.42328231255457116,0.42329942614335647,0.42328231255457116,0.42329942614335647,
2772,33,0.9118500483643115,1.1054876143130752,0.0,0.019697709398536208,5.202816208375097,0.41958933768397516,0.4196068077930843,0.41958933768397516,0.4196068077930843,
2805,66,0.9214716309987846,1.1789276662958172,0.0,0.00023205479094374123,3.9944426942766995,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,tread_curious.wav
2871,66,0.9628236927582892,1.2044887495408707,0.0,-0.003881428219301597,3.5994997061216587,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,
2937,66,0.992710698053537,1.1218457311510264,0.0,-0.005189494963389052,4.95697853305407,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,
3003,363,1.0057654368310849,1.0841685532577787,0.0,-0.0061937818110067155,5.5762786356325265,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,
3366,33,1.017437214423744,1.0548010094032791,0.0,-0.0061937818110067155,6.027642050666856,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,
3399,33,1.001598253289307,1.097394672467971,0.0,0.019022865917700554,5.3636472181587465,0.4190617698453186,0.4190792908859027,0.4190617698453186,0.4190792908859027,
3432,33,0.9963006332007567,1.0539294169479914,0.0,0.11245235294637068,5.964293608892753,0.4215945266381894,0.4216118024208503,0.4215945266381894,0.4216118024208503,curious_short.wav
3465,33,1.019227772664137,0.9283091425636707,0.0,0.2925619322375261,7.980903388899755,0.4258275340781005,0.4258443999601279,0.4258275340781005,0.4258443999601279,
3498,33,1.104279265714882,0.7344157725462706,0.0,0.5069391710741015,11.203451533472897,0.42926327372755996,0.42927980691188283,0.42926327372755996,0.4292798069118828,
3531,33,1.1888474594306895,0.5656386164372171,0.0,0.6759339870943972,13.893475558420022,0.4418962241309573,0.44191153401141275,0.4418962241309573,0.44191153401141275,
3564,33,1.170974586959199,0.6346496603556216,0.0,0.7674418040349307,12.900808375204276,0.5216787246047662,0.5216863087965846,0.5216787246047662,0.5216863087965846,
3597,33,1.0933150811131414,0.8103303789906476,0.0,0.8135673592950776,10.306161316919201,0.5900067425562739,0.5900077102471212,0.5900067425562739,0.5900077102471212,
3630,33,1.085095950795984,0.8695978257472327,0.0,0.8309746744165347,9.455449166530537,0.5987508428195342,0.5987509637808902,0.5987508428195342,0.5987509637808902,
