time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
33,33,0.9833988586365676,1.0162066598457637,0.0,0.0,-0.18979949832586665,0.6,0.6,0.6,0.6,
66,33,0.9411515161967067,0.9774621495726533,0.0,0.0,0.2298378452271912,0.6,0.6,0.6,0.6,curious_short.wav
99,33,1.0068312301138644,0.659070633562922,0.0,0.0,5.026108507971621,0.6,0.6,0.6,0.6,
132,33,1.1696284761607565,0.21404147757108752,0.0,0.0,12.114586637938523,0.01,0.01,0.01,0.01,head_curious.wav
165,33,1.426999999903594,0.15735490279219688,0.0,0.0,13.775566830180221,0.01,0.01,0.01,0.01,
198,33,1.0809279690399132,0.325101464790179,0.0,-4.465713128653533,10.97972661681452,0.6,0.6,0.6,0.6,
231,33,0.9162302505927492,0.6485190379545985,0.0,-4.465713128653533,3.5084887484369105,0.6,0.6,0.6,0.6,
264,66,0.8931328061542894,0.9241452408850999,0.0,-4.465713128653533,-1.2384687238734517,0.6,0.6,0.6,0.6,
330,66,0.954171737225278,1.0536289916969093,0.0,-4.465713128653533,-3.556075656471347,0.6,0.6,0.6,0.6,
396,66,0.9835511306272617,1.0266296731217908,0.0,-4.465713128653533,-2.8995617433057927,0.6,0.6,0.6,0.6,
462,66,0.9948531497594384,1.0076870354965555,0.0,-4.465713128653533,-2.556123798069215,0.6,0.6,0.6,0.6,
528,264,1.0,1.0,0.0,-4.465713128653533,-2.4596374339850624,0.6,0.6,0.6,0.6,
792,33,1.003726535792646,0.9923814123885896,0.0,-4.465713128653533,-2.3990951867822066,0.5593185334991921,0.5593185334991921,0.6,0.6,curious_short.wav
825,33,1.0511860495694754,0.9040979079624459,0.0,-0.8908741271614034,1.0567580150384757,0.5847221843572125,0.5847221843572125,0.6,0.6,
858,33,1.0031965214108198,0.981882587820987,0.0,0.18998093246138778,0.4234619679382057,0.5945885513260626,0.5945885513260626,0.6,0.6,
891,33,0.9894956197651662,0.9941805280117153,0.0,0.13254375500024482,0.19070571366707512,0.5985674269665969,0.5985674269665969,0.6,0.6,
924,33,0.9922189776038268,0.9980585712082926,0.0,0.04523356754924917,0.0554171350510444,0.6,0.6,0.6,0.6,
957,33,0.9972766421613393,0.9996094762367759,0.0,0.01074297298478888,0.00692714188138055,0.6,0.6,0.6,0.6,
990,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
