time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,99,0.9498995758441655,1.0397739445588163,0.0,4.295571404265247,-0.9681836214624724,0.5026870218034121,0.5615919786661296,0.5026870218034121,0.5615919786661296,
99,66,0.909745810572672,1.0742796919351625,0.0,4.023503715760797,-3.096181331538028,0.5111776397879375,0.571236698341554,0.5111776397879375,0.571236698341554,
165,66,0.9346983191711922,0.49099464431999207,0.0,2.8819567930004713,7.210583328990651,0.10228251370930964,0.13231204298611793,0.10228251370930964,0.13231204298611793,
231,33,1.426999999903594,0.07350000020918059,0.0,0.0,14.915315583263677,0.01,0.01,0.01,0.01,
264,2541,2.2677516982316792e-10,2.2677516982316792e-10,0.0,0.0,14.915315583263677,0.01,0.01,0.01,0.01,
2805,66,2.2677516982316792e-10,2.2677516982316792e-10,0.0,0.0,14.915315583263677,0.01,0.01,0.01,0.01,
2871,33,2.2677516982316792e-10,2.2677516982316792e-10,0.0,0.0,14.915315583263677,0.01,0.01,0.01,0.01,
2904,66,1.426999999903594,0.07350000020918059,0.0,0.0,14.915315583263677,0.01,0.01,0.01,0.01,
2970,99,0.9220582103589638,0.5196280001083358,0.0,0.0,9.665124497954867,0.111145315635348,0.10436440039749681,0.111145315635348,0.10436440039749681,
3069,99,0.9333333353439086,1.088888886208125,0.0,0.0,-1.749803256274628,0.4758150478319432,0.4565510840880476,0.4758150478319432,0.4565510840880476,
3168,165,0.9627305424109852,1.1256790084519106,0.0,0.0,-2.624704884411261,0.4758150478319432,0.4565510840880476,0.4758150478319432,0.4565510840880476,
3333,132,1.0087422257601653,0.9705197140962915,0.0,0.0,0.6156719624679106,0.4758150478319432,0.4565510840880476,0.4758150478319432,0.4565510840880476,
3465,33,1.0,1.0,0.0,0.0,0.0,0.4758150478319432,0.4565510840880476,0.4758150478319432,0.4565510840880476,
