time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,330,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
330,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
363,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
396,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
429,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
462,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
495,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
528,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,curious_short.wav
561,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
594,99,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
693,1287,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
1980,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2013,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2046,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2112,165,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2277,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,happy.wav
2310,33,1.0,1.0,0.0,0.8497426283244585,-0.750390936592074,0.6,0.6,0.6,0.6,
2343,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2409,99,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
2508,660,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
3168,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
3201,33,1.0,1.0,0.0,0.0,0.0,0.6197654177768905,0.6197654177768905,0.6197654177768905,0.6197654177768905,
3234,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
3267,198,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
3465,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,neutral.wav
3498,33,1.0,1.0,0.0,0.0,0.0,0.6197648696785262,0.6197648696785262,0.6197648696785262,0.6197648696785262,
3531,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
3564,2706,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
6270,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,neutral.wav
6303,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
6336,66,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
6402,99,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
6501,1749,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
8250,33,1.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,
