time,duration,scale_x,scale_y,angle,center_x,center_y,l_lid_top,l_lid_bottom,r_lid_top,r_lid_bottom,sound
0,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
33,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
66,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
99,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
132,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
165,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
198,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
231,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
264,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
297,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
330,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
363,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
396,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
429,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
462,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
495,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
528,66,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
594,66,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
660,66,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
726,165,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
891,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
924,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
957,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
990,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
1023,66,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
1089,66,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
1155,33,1.0,1.0,0.0,-0.8026717630578801,6.023860584289409,0.6,0.6,0.6,0.6,
